Episode: 0, Reward: 0, Explore: 3.00
Episode: 1, Reward: 6866, Explore: 3.00
Episode: 2, Reward: -492, Explore: 3.00
Episode: 3, Reward: -4350, Explore: 3.00
Episode: 4, Reward: -50, Explore: 3.00
Episode: 5, Reward: -182, Explore: 3.00
Episode: 6, Reward: 3428, Explore: 3.00
Episode: 7, Reward: 16369, Explore: 3.00
Episode: 8, Reward: 1619, Explore: 3.00
Episode: 9, Reward: -17962, Explore: 3.00
Episode: 10, Reward: 87569, Explore: 3.00
Episode: 11, Reward: -93609, Explore: 3.00
Episode: 12, Reward: 5543, Explore: 3.00
Episode: 13, Reward: -1857, Explore: 3.00
Episode: 14, Reward: 23436, Explore: 3.00
Episode: 15, Reward: 17845, Explore: 3.00
Episode: 16, Reward: -48734, Explore: 3.00
Episode: 17, Reward: 13526, Explore: 3.00
Episode: 18, Reward: -8218, Explore: 3.00
Episode: 19, Reward: -5960, Explore: 3.00
Episode: 20, Reward: 6724, Explore: 3.00
Episode: 21, Reward: 20197, Explore: 3.00
Episode: 22, Reward: -21707, Explore: 3.00
Episode: 23, Reward: 1744, Explore: 3.00
Episode: 24, Reward: 5851, Explore: 3.00
Episode: 25, Reward: -6704, Explore: 3.00
Episode: 26, Reward: -3241, Explore: 3.00
Episode: 27, Reward: -64, Explore: 3.00
Episode: 28, Reward: 5286, Explore: 3.00
Episode: 29, Reward: 454, Explore: 3.00
Episode: 30, Reward: -5327, Explore: 3.00
Episode: 31, Reward: -2272, Explore: 3.00
Episode: 32, Reward: 40676, Explore: 3.00
Episode: 33, Reward: -36491, Explore: 3.00
Episode: 34, Reward: 88, Explore: 3.00
Episode: 35, Reward: 6317, Explore: 3.00
Episode: 36, Reward: -10816, Explore: 3.00
Episode: 37, Reward: 2710, Explore: 3.00
Episode: 38, Reward: 1788, Explore: 3.00
Episode: 39, Reward: 10, Explore: 3.00
Episode: 40, Reward: -10, Explore: 3.00
Episode: 41, Reward: 0, Explore: 3.00
Episode: 42, Reward: 22169, Explore: 3.00
Episode: 43, Reward: -22169, Explore: 3.00
Episode: 44, Reward: -923, Explore: 3.00
Episode: 45, Reward: 923, Explore: 3.00
Episode: 46, Reward: 8808, Explore: 3.00
Episode: 47, Reward: 44550, Explore: 3.00
Episode: 48, Reward: -53358, Explore: 3.00
Episode: 49, Reward: 7734, Explore: 3.00
Episode: 50, Reward: -14734, Explore: 2.71
Episode: 51, Reward: 7000, Explore: 2.46
Episode: 52, Reward: 3870, Explore: 2.22
Episode: 53, Reward: -3870, Explore: 2.01
Episode: 54, Reward: 5583, Explore: 1.82
Episode: 55, Reward: 21418, Explore: 1.65
Episode: 56, Reward: -44131, Explore: 1.49
Episode: 57, Reward: 17128, Explore: 1.35
Episode: 58, Reward: 0, Explore: 1.22
Episode: 59, Reward: 2507, Explore: 1.10
Episode: 60, Reward: -2507, Explore: 1.00
Episode: 61, Reward: 5719, Explore: 0.90
Episode: 62, Reward: -5719, Explore: 0.82
Episode: 63, Reward: 0, Explore: 0.74
Episode: 64, Reward: 48623, Explore: 0.67
Episode: 65, Reward: -34680, Explore: 0.61
Episode: 66, Reward: -5426, Explore: 0.55
Episode: 67, Reward: 6003, Explore: 0.50
Episode: 68, Reward: -14519, Explore: 0.45
Episode: 69, Reward: 20049, Explore: 0.41
Episode: 70, Reward: 26738, Explore: 0.37
Episode: 71, Reward: 0, Explore: 0.33
Episode: 72, Reward: 0, Explore: 0.30
Episode: 73, Reward: 0, Explore: 0.27
Episode: 74, Reward: 0, Explore: 0.25
Episode: 75, Reward: 0, Explore: 0.22
Episode: 76, Reward: 0, Explore: 0.20
Episode: 77, Reward: 0, Explore: 0.18
Episode: 78, Reward: 0, Explore: 0.16
Episode: 79, Reward: 0, Explore: 0.15
Episode: 80, Reward: 0, Explore: 0.14
Episode: 81, Reward: 0, Explore: 0.12
Episode: 82, Reward: 0, Explore: 0.11
